Name,Gender,Age,City,State,Country,Join_Date,Income,Income_Group,Education,Marital_Status,Number_of_Children,Churn_Flag,customer_id
Eduardo Brooks,Female,44,Lake Ashleystad,North Dakota,USA,12/21/2020,47153.06,Lower-Middle,Bachelor's,Married,4,0,7496
James Brown,Male,30,Port Patrick,Georgia,USA,2/28/2022,67248.04,Middle,Associate Degree,Single,3,0,7497
Susan Jacobs,Female,43,Port Alexandertown,Rhode Island,USA,1/6/2023,49073.19,Lower-Middle,Associate Degree,Married,1,0,7498
Brett Matthews,Male,35,Lake Danielmouth,Kentucky,USA,6/26/2024,46346.64,Lower-Middle,Bachelor's,Married,3,1,7499
Shawn Baker,Female,34,East Kevinshire,Ohio,USA,7/5/2022,86288.66,Middle,High School,Single,4,0,7500
Adam Potter,Male,70,Port Rebeccachester,Kentucky,USA,9/3/2021,32801.32,Lower-Middle,Bachelor's,Married,0,0,7501
Ann Garcia,Male,39,Stephanieton,Kentucky,USA,2/24/2025,52250.4,Lower-Middle,Bachelor's,Single,0,0,7502
Sherry Aguilar,Female,23,West Sarafurt,Indiana,USA,10/23/2022,63334.59,Middle,Associate Degree,Married,2,0,7503
Kelly Davis,Male,72,New Norma,Nevada,USA,8/22/2024,51008,Lower-Middle,Bachelor's,Widowed,1,0,7504
Justin Turner,Male,57,South Destinyshire,Alaska,USA,5/24/2024,62255.04,Middle,Master's,Married,1,0,7505
Victor Lewis,Female,35,North Rodney,Alaska,USA,1/5/2021,39856.9,Lower-Middle,Master's,Divorced,0,0,7506
Bryan Shepherd,Male,41,Greenchester,South Dakota,USA,12/12/2024,32321.48,Lower-Middle,Bachelor's,Divorced,2,0,7507
Thomas Thompson,Male,61,New Brian,Alabama,USA,3/12/2021,46884.47,Lower-Middle,Bachelor's,Married,2,0,7508
Dominic Hernandez,Male,39,East Ginafurt,Kansas,USA,11/8/2021,62281.9,Middle,Associate Degree,Single,0,0,7509
Carol Roberts,Female,47,East Ashley,Colorado,USA,9/8/2022,57426.75,Lower-Middle,High School,Widowed,2,0,7510
Erica Hernandez,Female,45,Port Jacqueline,North Carolina,USA,7/15/2022,69542.35,Middle,Bachelor's,Married,2,0,7511
Patrick Byrd,Female,41,New Debrastad,Wisconsin,USA,9/9/2020,38629.78,Lower-Middle,Associate Degree,Single,4,0,7512
Dawn Hernandez,Male,50,Connorchester,Indiana,USA,10/20/2023,51365.69,Lower-Middle,Associate Degree,Single,1,0,7513
Keith Miller,Male,43,South Stephanie,Arizona,USA,5/21/2023,58920.84,Lower-Middle,Bachelor's,Married,1,0,7514
Mary Rodriguez,Male,20,Maychester,North Dakota,USA,9/4/2021,45465.24,Lower-Middle,Master's,Single,3,0,7515
Diamond Ford,Male,58,West Martin,Massachusetts,USA,6/12/2022,62069.64,Middle,Bachelor's,Single,0,0,7516
Amber Hill,Female,28,Heatherborough,Vermont,USA,6/1/2021,55781.53,Lower-Middle,High School,Single,1,0,7517
Tiffany Davenport,Male,43,Michaelmouth,Michigan,USA,11/17/2020,67302.56,Middle,Bachelor's,Single,1,0,7518
Sarah Mccann,Male,47,East Michaelfort,Oregon,USA,12/13/2023,64331.56,Middle,Bachelor's,Married,2,0,7519
Douglas Murray,Male,52,East Kellyfort,Colorado,USA,1/1/2021,32198.41,Lower-Middle,Master's,Single,3,0,7520
Anthony Edwards,Female,41,South Amandaburgh,Ohio,USA,5/3/2024,82088.39,Middle,Bachelor's,Married,1,0,7521
Craig Maynard,Male,54,West Nicoleville,Wyoming,USA,8/27/2022,27415.46,Low,Bachelor's,Single,6,0,7522
Andrew Knight,Male,29,Georgestad,Indiana,USA,6/19/2021,36721.58,Lower-Middle,Bachelor's,Widowed,2,0,7523
Mary Anderson,Male,50,New Thomas,New Jersey,USA,8/1/2022,58875.81,Lower-Middle,Bachelor's,Single,2,1,7524
Edward Lang DDS,Male,59,West Hannahside,Nevada,USA,11/30/2021,64439.45,Middle,High School,Divorced,1,0,7525
Michael Johnson,Male,63,Davidside,Rhode Island,USA,1/8/2025,55765.81,Lower-Middle,Master's,Married,0,1,7526
Crystal Lawrence,Female,47,South Madeline,Massachusetts,USA,2/5/2025,51870.07,Lower-Middle,Bachelor's,Married,5,1,7527
Rhonda Petersen,Male,37,West Michelle,Washington,USA,12/17/2022,58766.71,Lower-Middle,Associate Degree,Single,2,0,7528
Courtney Marsh,Male,31,South Sarah,North Dakota,USA,1/3/2021,67907.94,Middle,PhD,Married,0,0,7529
Emily Moore,Male,39,Kennethside,Vermont,USA,12/9/2020,42802.16,Lower-Middle,Master's,Single,2,1,7530
Dr. Gary Peterson,Male,46,Tanyaside,New Hampshire,USA,4/23/2023,43285.61,Lower-Middle,Associate Degree,Widowed,3,0,7531
John Cooper,Male,32,Port Lisafort,Wyoming,USA,3/11/2022,47016.76,Lower-Middle,High School,Single,0,0,7532
Anne Brown,Male,70,East Megan,Oklahoma,USA,3/13/2023,79801.25,Middle,PhD,Single,1,0,7533
Jessica Adams,Male,64,East Mikaylaburgh,Georgia,USA,9/20/2021,65593.98,Middle,High School,Married,2,0,7534
Zachary Wolfe,Male,21,New Laurenchester,New Mexico,USA,10/13/2022,68585.71,Middle,Associate Degree,Single,1,0,7535
Jeremy Walsh,Male,46,Port Kyle,Michigan,USA,8/31/2021,83865.47,Middle,High School,Married,1,0,7536
Stephanie Johnson,Male,57,North Sheliaview,Rhode Island,USA,8/2/2023,71811.1,Middle,Master's,Single,0,0,7537
Kimberly Sharp,Female,35,Watsonmouth,North Dakota,USA,2/5/2021,62346.54,Middle,Associate Degree,Married,0,0,7538
Patricia Christensen,Female,45,Marthaburgh,Wyoming,USA,12/31/2020,83374.68,Middle,Associate Degree,Single,3,1,7539
David Stewart,Female,41,Medinaland,Idaho,USA,9/13/2024,45424.96,Lower-Middle,Bachelor's,Married,2,1,7540
Jennifer Forbes,Female,32,Feliciamouth,Mississippi,USA,3/18/2022,56020.28,Lower-Middle,PhD,Single,3,0,7541
Nathan Small,Male,49,Shannonfort,Vermont,USA,9/10/2024,77343.87,Middle,Bachelor's,Married,3,0,7542
Gabriel Lee,Female,75,West Brettview,South Carolina,USA,11/8/2024,27090.58,Low,High School,Single,1,0,7543
Daniel Aguirre,Female,39,North Christinaville,Wisconsin,USA,12/29/2024,48048.49,Lower-Middle,Bachelor's,Single,2,0,7544
Charlene Fields,Male,46,New Marcushaven,Ohio,USA,9/8/2021,71843.77,Middle,Bachelor's,Married,0,0,7545
Benjamin Becker,Female,38,New Heather,New York,USA,2/5/2023,61598.91,Middle,High School,Divorced,0,0,7546
Jacob Bennett,Female,62,West Rachelborough,Nebraska,USA,12/7/2023,67707.28,Middle,Master's,Married,0,1,7547
Benjamin Ruiz,Male,61,Javierville,Nebraska,USA,10/2/2022,31253.71,Lower-Middle,High School,Married,1,0,7548
Anna Jones,Male,31,Sotoburgh,Maine,USA,12/29/2023,47385.38,Lower-Middle,High School,Single,3,0,7549
Christina Johnston,Male,64,Gonzalezland,California,USA,4/6/2024,69737.82,Middle,Bachelor's,Married,3,0,7550
Cynthia Steele,Female,30,New Robert,Alabama,USA,4/18/2025,46470.52,Lower-Middle,Bachelor's,Married,1,0,7551
Thomas Lyons,Female,27,Danieltown,Arizona,USA,4/13/2023,72372.73,Middle,High School,Single,0,0,7552
Christopher Garcia,Male,50,Cortezborough,Maryland,USA,3/4/2021,64311.87,Middle,Bachelor's,Married,4,0,7553
Rachel Johnson,Male,40,South Seanmouth,Texas,USA,8/31/2024,42419.56,Lower-Middle,Associate Degree,Married,0,0,7554
Julia Mendoza,Female,45,Nortonfurt,Maryland,USA,1/18/2025,65182.53,Middle,Bachelor's,Single,1,0,7555
Jennifer Russo,Male,50,Ruizview,Massachusetts,USA,9/30/2022,71234.26,Middle,High School,Single,0,0,7556
James Bauer,Female,24,West Jessicaton,Montana,USA,9/4/2024,65422.48,Middle,Associate Degree,Widowed,2,0,7557
Kristen Keller,Male,37,Hollandfort,Texas,USA,7/12/2021,68055.58,Middle,Bachelor's,Married,1,1,7558
John Jennings,Male,43,Deborahland,Nevada,USA,12/15/2020,34069.07,Lower-Middle,Bachelor's,Single,2,0,7559
Debra Golden,Female,36,Contrerasfort,New Jersey,USA,7/6/2020,93825.7,Upper-Middle,Bachelor's,Married,0,0,7560
Kimberly Perez,Male,23,Jonathanborough,Michigan,USA,6/25/2022,102312.23,Upper-Middle,Associate Degree,Married,2,0,7561
Kelly Williams,Male,26,Deborahberg,Hawaii,USA,7/3/2020,81430.72,Middle,High School,Divorced,1,1,7562
Alicia Hines,Male,57,New Tyroneberg,Idaho,USA,6/17/2020,61733.25,Middle,Associate Degree,Married,0,0,7563
Christina Kim,Female,65,Lake Eric,Minnesota,USA,10/27/2020,53926.08,Lower-Middle,Associate Degree,Divorced,2,0,7564
Stephanie Chavez,Male,30,Jessicastad,Arkansas,USA,8/26/2022,54242.79,Lower-Middle,Bachelor's,Married,2,1,7565
Matthew Coleman,Male,35,Serranomouth,Maryland,USA,7/19/2020,71758.71,Middle,High School,Divorced,0,0,7566
Robert Smith,Male,50,North Phyllisland,Delaware,USA,2/25/2024,76035.15,Middle,Master's,Single,1,0,7567
Jason Ayala,Male,70,Flemingport,California,USA,8/30/2020,50255.71,Lower-Middle,Master's,Married,2,0,7568
Amanda Robinson,Male,37,Lake Bryan,West Virginia,USA,10/14/2023,59677.27,Lower-Middle,Associate Degree,Single,0,0,7569
Chad Griffin,Male,61,Katherineburgh,Missouri,USA,2/10/2023,78854.08,Middle,High School,Married,2,0,7570
Nichole Kelley,Female,44,South Deborah,Nevada,USA,7/31/2022,58461.82,Lower-Middle,Bachelor's,Married,3,0,7571
Nicole Wood,Female,70,East Kristyside,Alaska,USA,11/28/2024,61678.95,Middle,Master's,Married,3,0,7572
Andrea Carr,Male,29,Markside,Mississippi,USA,7/5/2022,80648.91,Middle,Master's,Divorced,1,0,7573
Samantha Myers,Female,72,West George,New Jersey,USA,5/18/2020,78233.04,Middle,High School,Married,3,0,7574
Mary Young MD,Female,42,Seanbury,Arkansas,USA,5/8/2021,72073.45,Middle,Associate Degree,Widowed,0,1,7575
Emily Cervantes DDS,Male,70,New Michael,New Mexico,USA,7/4/2023,43963.64,Lower-Middle,Bachelor's,Single,0,1,7576
Maurice Jones,Female,43,Port Jose,Connecticut,USA,12/19/2021,44148.71,Lower-Middle,Master's,Married,2,0,7577
Brandon Gallegos,Female,45,Brownshire,Washington,USA,1/20/2025,48964.03,Lower-Middle,Bachelor's,Married,1,1,7578
Tracey Clarke,Female,58,South Natalie,Hawaii,USA,1/22/2025,52171.26,Lower-Middle,Bachelor's,Divorced,0,0,7579
Thomas Gonzalez,Female,53,West Mariachester,Tennessee,USA,1/15/2023,63239.56,Middle,Bachelor's,Divorced,1,0,7580
Ronald Rich,Female,49,Amyport,Kentucky,USA,1/28/2021,58603.13,Lower-Middle,PhD,Married,2,0,7581
Cristina Gonzalez,Female,41,New Natalie,Ohio,USA,6/15/2021,57576.38,Lower-Middle,Associate Degree,Married,0,0,7582
James Allen,Female,57,Veronicatown,Nevada,USA,2/1/2025,56131.17,Lower-Middle,Bachelor's,Single,2,0,7583
Sherry Vaughn,Female,69,South Stephanie,Connecticut,USA,1/18/2023,46839.08,Lower-Middle,PhD,Divorced,3,0,7584
Douglas Flores,Male,19,Lake Melaniefort,Arkansas,USA,8/30/2024,53081.54,Lower-Middle,Bachelor's,Single,3,0,7585
Kyle Higgins,Male,47,Elizabethbury,Louisiana,USA,11/30/2020,96503.54,Upper-Middle,Associate Degree,Married,3,0,7586
George Foster DDS,Female,62,Christinefort,Massachusetts,USA,11/19/2023,70488.24,Middle,Associate Degree,Married,1,0,7587
Shannon Murphy,Female,50,New Lanceton,Kansas,USA,3/30/2021,60300.66,Middle,Bachelor's,Single,1,0,7588
Samantha Wilson,Male,57,Harveyfurt,Michigan,USA,4/8/2021,37493.47,Lower-Middle,Bachelor's,Divorced,2,0,7589
Adam Moran,Female,64,South Morgan,Idaho,USA,8/6/2023,45143.35,Lower-Middle,Master's,Married,1,0,7590
Sean Ortiz,Female,55,Jonesview,South Dakota,USA,2/13/2024,59365.82,Lower-Middle,Associate Degree,Divorced,1,0,7591
Kerri Byrd,Male,53,Carterside,New Hampshire,USA,11/23/2021,80393.81,Middle,PhD,Single,0,0,7592
Ms. Emma Padilla,Male,71,Dianabury,Maryland,USA,1/4/2024,63435.78,Middle,Master's,Single,1,0,7593
Mary Lucas,Male,61,Millerburgh,Rhode Island,USA,9/24/2021,63233.28,Middle,Associate Degree,Married,2,0,7594
Roberta Sutton,Female,58,Pattyton,Connecticut,USA,11/3/2021,76650.06,Middle,Master's,Married,0,0,7595
Ashley Davis,Female,26,Zimmermanborough,Rhode Island,USA,3/16/2022,45430.83,Lower-Middle,PhD,Single,1,0,7596
Curtis Garcia,Male,34,Sheltonview,West Virginia,USA,4/27/2023,81092.63,Middle,PhD,Married,0,0,7597
Scott Arnold,Male,46,South Kellyland,Virginia,USA,3/25/2021,54248.77,Lower-Middle,Associate Degree,Widowed,2,0,7598
Joseph Castaneda,Female,53,Brianville,Idaho,USA,3/18/2022,77371.66,Middle,Bachelor's,Single,2,0,7599
Jesse Hood,Male,37,Lake Josephton,South Dakota,USA,2/24/2024,85051.88,Middle,Bachelor's,Married,4,1,7600
Maria Hall,Female,27,North Rhonda,Delaware,USA,9/14/2024,46391.09,Lower-Middle,Bachelor's,Married,2,0,7601
Michelle Hines,Female,37,Campbelltown,Georgia,USA,10/15/2024,60000.55,Middle,High School,Single,3,1,7602
William Taylor,Male,56,West Robertchester,Kentucky,USA,9/25/2020,71836.7,Middle,Master's,Single,1,0,7603
Carmen Murray,Male,62,Lake Michael,Oklahoma,USA,4/3/2023,55699.77,Lower-Middle,High School,Divorced,0,1,7604
Jacob Estrada,Female,65,Charlesfurt,Connecticut,USA,5/31/2023,56117.81,Lower-Middle,Bachelor's,Single,0,0,7605
Jennifer Rodriguez,Male,40,East Robertborough,Illinois,USA,6/18/2024,54024.04,Lower-Middle,Bachelor's,Single,1,0,7606
Eric Collins,Male,40,Port Brianna,South Dakota,USA,8/10/2023,32091.1,Lower-Middle,Bachelor's,Married,2,0,7607
Chad Church,Male,41,West Anna,Arizona,USA,11/22/2023,75862.27,Middle,High School,Married,3,1,7608
Jill Buckley,Male,40,Port Christopherfurt,Wyoming,USA,11/28/2023,44854.82,Lower-Middle,Associate Degree,Married,2,0,7609
Jonathan Hull,Female,51,Smithburgh,Florida,USA,8/12/2022,25661.05,Low,Associate Degree,Single,0,0,7610
Michael Vaughn,Female,39,Port Josephland,Ohio,USA,2/18/2022,75703.34,Middle,Bachelor's,Divorced,4,0,7611
Shawn Elliott,Female,20,South Alexandrabury,North Carolina,USA,11/20/2023,67272.2,Middle,PhD,Single,2,0,7612
Morgan Murillo,Female,42,Lake Barbara,Wyoming,USA,4/11/2024,40228.82,Lower-Middle,Associate Degree,Married,3,1,7613
Jacqueline Brown,Male,34,East Tina,Washington,USA,11/17/2024,76293.14,Middle,Bachelor's,Married,4,0,7614
Kenneth Guzman,Male,21,New Michaelmouth,Illinois,USA,11/20/2024,69982.17,Middle,High School,Married,1,1,7615
Fernando Davis,Female,43,Jacksonville,Washington,USA,8/19/2024,60004.82,Middle,High School,Married,0,0,7616
Katherine Zimmerman,Female,33,Lake Johnview,Arizona,USA,10/10/2024,54744.48,Lower-Middle,High School,Married,2,0,7617
Teresa Bishop,Male,43,South Garretthaven,Montana,USA,2/4/2021,58164.62,Lower-Middle,Bachelor's,Divorced,2,0,7618
Jacqueline Hill MD,Female,36,North Cindyland,Wyoming,USA,2/15/2024,63097.49,Middle,Bachelor's,Married,1,0,7619
Mariah Reed,Female,48,South Charlene,Wisconsin,USA,5/4/2020,48170.27,Lower-Middle,Master's,Married,1,0,7620
John Serrano,Male,74,Deborahburgh,Colorado,USA,3/7/2024,76770.74,Middle,Bachelor's,Single,1,0,7621
Katherine Mullins,Female,46,East Troy,Vermont,USA,8/2/2021,68334.56,Middle,High School,Married,1,0,7622
Suzanne Lee,Male,50,West Pamelaton,Idaho,USA,9/23/2024,57974.65,Lower-Middle,High School,Married,4,1,7623
Destiny Wilkins,Male,66,South Jason,Connecticut,USA,1/26/2023,86146.43,Middle,High School,Divorced,1,0,7624
Juan Orr,Female,40,Patriciafurt,Michigan,USA,5/5/2023,55476.5,Lower-Middle,High School,Married,3,0,7625
Philip Weeks,Male,31,Millerbury,Delaware,USA,4/14/2021,83239.26,Middle,PhD,Single,1,0,7626
Lance Zavala,Female,36,Morganland,Illinois,USA,4/24/2021,64390.14,Middle,Bachelor's,Single,1,0,7627
Steven Hill,Male,41,Hardyville,Mississippi,USA,5/17/2024,71363.96,Middle,High School,Married,3,1,7628
Linda Smith MD,Female,50,Grantfurt,Illinois,USA,2/10/2022,54493.29,Lower-Middle,High School,Single,0,0,7629
Bryan Thompson,Female,18,South Katieview,Delaware,USA,8/7/2024,31954.87,Lower-Middle,Bachelor's,Divorced,0,1,7630
Tina Mcintyre,Female,61,Port Sarah,Kentucky,USA,9/21/2021,67189.49,Middle,High School,Widowed,1,0,7631
Matthew Huerta,Male,26,New Stephaniefort,Vermont,USA,1/12/2025,42181.14,Lower-Middle,Bachelor's,Widowed,2,0,7632
Tina White,Male,64,Port Carrieville,New Hampshire,USA,8/3/2021,50809.54,Lower-Middle,High School,Single,2,1,7633
Paul Mcbride,Female,69,Thomasshire,Wisconsin,USA,3/5/2022,61137.26,Middle,Master's,Married,1,0,7634
Andrea Brennan,Male,74,Dawnside,North Carolina,USA,12/29/2021,50373.58,Lower-Middle,Bachelor's,Widowed,3,0,7635
Austin Johnson,Female,58,Shawnburgh,North Dakota,USA,4/3/2023,59524.31,Lower-Middle,Associate Degree,Single,1,0,7636
Robert White,Female,29,New Tracyberg,Washington,USA,12/14/2020,62993.44,Middle,Master's,Single,2,0,7637
Jeffrey Estrada,Male,53,Edwardsville,Kansas,USA,6/12/2020,37886.89,Lower-Middle,Bachelor's,Married,2,0,7638
Felicia Schmidt,Female,33,East Elizabethport,Georgia,USA,2/6/2024,64112.76,Middle,Bachelor's,Married,3,0,7639
Barry Daniels,Male,64,Lewisberg,Wisconsin,USA,12/3/2023,50681.98,Lower-Middle,Associate Degree,Single,2,0,7640
Robert Powers,Female,38,Codymouth,Arkansas,USA,7/27/2021,43979.22,Lower-Middle,High School,Married,3,0,7641
Kenneth Hill,Male,38,Port Spencertown,Mississippi,USA,1/22/2021,29979.31,Low,High School,Single,0,0,7642
David Horn,Female,66,Port Ashley,Pennsylvania,USA,9/11/2020,36684.34,Lower-Middle,Bachelor's,Single,1,0,7643
Jacqueline Oliver,Female,19,Scottborough,Iowa,USA,2/11/2025,60359.38,Middle,Bachelor's,Single,0,0,7644
Matthew Andrews,Male,32,Port Nicoletown,Pennsylvania,USA,2/16/2021,60636.9,Middle,High School,Married,1,0,7645
Maurice Johnson,Female,42,Abbottport,Hawaii,USA,8/24/2024,67775.93,Middle,High School,Widowed,0,0,7646
Mary Hays,Female,52,Isabelstad,West Virginia,USA,10/23/2021,85736.17,Middle,Bachelor's,Married,1,0,7647
Shawn Cardenas,Male,50,Lake Charles,Louisiana,USA,4/13/2022,80341.69,Middle,High School,Single,1,1,7648
Terry Woods,Female,51,North Raymond,Oregon,USA,1/28/2024,74936.54,Middle,Associate Degree,Divorced,0,0,7649
Leah Adkins,Male,63,Port Davidmouth,Tennessee,USA,11/9/2021,77796.47,Middle,Bachelor's,Single,2,0,7650
Jeffrey Ponce,Female,28,Port Gary,Michigan,USA,3/20/2021,62712.39,Middle,Bachelor's,Single,1,0,7651
John Mitchell,Male,45,North Jenniferberg,New Hampshire,USA,7/22/2021,62441,Middle,Master's,Single,6,1,7652
Jennifer Fuller,Female,53,Davidside,New Hampshire,USA,4/5/2024,83058.93,Middle,High School,Married,1,0,7653
Philip Anderson,Female,49,Port Patricia,Idaho,USA,8/1/2022,63246.23,Middle,Master's,Single,0,0,7654
Amber Morgan,Female,42,West Heatherberg,North Carolina,USA,3/3/2025,63566.39,Middle,Bachelor's,Single,3,1,7655
Carlos Adams,Male,20,West Alexandramouth,Georgia,USA,11/1/2021,77485.51,Middle,High School,Widowed,2,1,7656
Nicole May,Male,25,Edwardsbury,Michigan,USA,7/4/2020,55852.16,Lower-Middle,High School,Widowed,1,0,7657
Kayla Reed,Male,28,Sloanberg,Vermont,USA,8/4/2022,57982.11,Lower-Middle,Master's,Single,1,0,7658
Julia Garcia,Male,39,South Christinastad,Mississippi,USA,1/11/2023,39580.03,Lower-Middle,High School,Widowed,3,0,7659
Christine Kelley,Female,28,Vargasborough,Mississippi,USA,10/21/2022,53061.55,Lower-Middle,Bachelor's,Married,0,0,7660
Jessica Jackson,Female,42,East Dennis,Virginia,USA,5/27/2022,55054.41,Lower-Middle,Master's,Married,2,0,7661
Tracy Clark,Male,31,Harringtonfort,Connecticut,USA,6/18/2021,55900.83,Lower-Middle,Master's,Single,2,1,7662
Mathew Rollins,Male,56,Thomashaven,New Mexico,USA,4/19/2023,72157.13,Middle,Bachelor's,Married,0,0,7663
James Torres,Male,62,Amandamouth,Minnesota,USA,9/14/2022,44869,Lower-Middle,PhD,Married,0,0,7664
Holly Rogers DDS,Female,40,Susanview,Rhode Island,USA,1/15/2021,82336.88,Middle,Bachelor's,Married,1,0,7665
Cynthia Peterson,Male,45,New Danamouth,West Virginia,USA,3/18/2025,29097.48,Low,Master's,Married,1,0,7666
Mr. Robert Johnson,Male,70,East Allisonburgh,North Carolina,USA,5/11/2023,68972.9,Middle,Master's,Married,1,0,7667
William Jenkins II,Female,45,West Holly,Delaware,USA,5/19/2024,72249.68,Middle,High School,Married,2,0,7668
Kristen Smith,Female,75,Michaelville,Arizona,USA,9/6/2023,70379.41,Middle,Associate Degree,Married,0,0,7669
Thomas Hensley,Male,29,West Dylan,Texas,USA,12/30/2024,76433.42,Middle,Associate Degree,Divorced,2,0,7670
Tanya Cook,Female,61,Nguyentown,Iowa,USA,4/16/2022,56825.51,Lower-Middle,Associate Degree,Married,1,1,7671
Mark Baldwin,Male,44,Danielleville,Tennessee,USA,9/16/2020,78795.23,Middle,PhD,Married,1,0,7672
Donald Johnson,Female,20,Lewisside,Texas,USA,6/11/2020,49638.07,Lower-Middle,High School,Married,1,0,7673
Barry Martinez,Male,72,Port Kimberly,Texas,USA,6/2/2022,50896.34,Lower-Middle,High School,Married,2,0,7674
David Pratt,Male,71,Lloydmouth,Tennessee,USA,7/4/2023,91035.01,Upper-Middle,High School,Single,0,1,7675
Rodney Bryant,Male,40,East Jonathanburgh,Oklahoma,USA,12/10/2022,62652.25,Middle,Bachelor's,Single,3,0,7676
Cole Wagner,Male,70,Williamshaven,Pennsylvania,USA,1/26/2024,74276.27,Middle,Master's,Married,2,0,7677
Adrienne Miller,Female,29,Port Nicoleshire,Georgia,USA,12/29/2022,67441.97,Middle,High School,Divorced,2,0,7678
Justin Smith,Female,51,Craigbury,Oregon,USA,12/12/2024,70849.8,Middle,Bachelor's,Divorced,2,0,7679
Carmen Walker,Female,32,Port Johnmouth,Alaska,USA,1/16/2024,29921.15,Low,High School,Married,0,0,7680
Jacob Webster,Female,35,Hutchinsonhaven,Oregon,USA,6/21/2024,65644.64,Middle,High School,Married,1,0,7681
Vanessa Morgan,Male,56,Walkerberg,Maine,USA,6/20/2024,60236.6,Middle,High School,Married,1,0,7682
Kiara Banks,Male,40,West Anita,Iowa,USA,8/29/2024,74599.56,Middle,Associate Degree,Married,1,0,7683
Kyle Smith,Female,18,North Janicetown,California,USA,5/4/2023,48064.4,Lower-Middle,High School,Married,2,1,7684
Emily Hall,Female,41,Dickersonhaven,Rhode Island,USA,7/1/2023,77898.96,Middle,High School,Divorced,2,0,7685
Garrett Jenkins,Female,34,East Aaron,New Mexico,USA,5/9/2020,41903.94,Lower-Middle,Associate Degree,Single,0,0,7686
Michael Smith,Female,51,South Thomas,Illinois,USA,10/11/2023,53224.4,Lower-Middle,Bachelor's,Divorced,1,0,7687
Christopher Johnson,Female,32,Brianfurt,Maine,USA,11/26/2020,36325.61,Lower-Middle,Bachelor's,Married,1,1,7688
Julie Hayden,Male,60,Lake Madison,New York,USA,1/20/2023,43791.64,Lower-Middle,Bachelor's,Married,0,0,7689
Amanda Harvey,Male,36,Troychester,Tennessee,USA,4/19/2023,60104.21,Middle,Bachelor's,Single,4,1,7690
Amy Rogers,Male,41,Johnsonmouth,Hawaii,USA,9/5/2023,80526.1,Middle,Bachelor's,Widowed,0,0,7691
James Hooper,Female,37,Aliciabury,Louisiana,USA,5/2/2025,60524.57,Middle,Master's,Married,0,0,7692
Laura Potts,Female,50,South Johnfurt,Texas,USA,12/10/2024,40740.84,Lower-Middle,High School,Married,0,0,7693
Amanda Huang,Female,27,Henryfurt,Hawaii,USA,11/14/2024,28336.69,Low,Bachelor's,Married,0,0,7694
Sarah Gordon,Female,43,Lake Kelsey,Idaho,USA,11/16/2020,70104.02,Middle,Master's,Married,1,0,7695
James Pierce,Male,38,Lake Jofurt,Hawaii,USA,12/12/2023,50139.2,Lower-Middle,Bachelor's,Married,1,1,7696
Barry Campbell,Male,63,South Michelleberg,Kansas,USA,12/16/2020,52144.41,Lower-Middle,High School,Married,0,0,7697
Joseph Martinez,Female,25,North Markhaven,Alabama,USA,5/20/2024,76149.79,Middle,High School,Single,1,0,7698
Donna Mcgee,Male,59,South Robertstad,Illinois,USA,11/22/2022,57976.74,Lower-Middle,Bachelor's,Single,2,0,7699
Robert Fletcher,Male,31,Kennethfort,South Carolina,USA,5/24/2024,55520.44,Lower-Middle,Bachelor's,Married,1,0,7700
Ryan Beck,Female,26,Jerryville,Connecticut,USA,12/15/2021,62423.37,Middle,Master's,Single,2,0,7701
Andrew Miller,Female,33,West Jerry,Tennessee,USA,10/1/2020,82229.25,Middle,Bachelor's,Single,4,0,7702
Meghan Turner,Female,27,West Christopherville,New Hampshire,USA,3/3/2024,63810.21,Middle,Master's,Married,1,0,7703
Jerry Ross,Female,45,Cochranburgh,Delaware,USA,5/8/2021,27610.5,Low,Associate Degree,Divorced,0,0,7704
Andrea Paul,Female,74,Port Jeffrey,California,USA,8/8/2024,47730.67,Lower-Middle,Bachelor's,Married,0,0,7705
Claudia Schneider,Female,22,North Brian,New York,USA,1/30/2021,55732.37,Lower-Middle,Bachelor's,Single,4,0,7706
Kelly Anderson,Male,43,Mitchellfort,Arkansas,USA,6/6/2023,72951.59,Middle,Master's,Married,3,1,7707
Kenneth Vargas,Male,40,Matthewborough,Vermont,USA,8/2/2021,41360.94,Lower-Middle,Bachelor's,Single,3,0,7708
Eric Coleman,Female,38,North Lisa,Indiana,USA,5/16/2020,62232.49,Middle,Master's,Married,1,0,7709
Sarah Wagner,Male,38,Port Paige,North Dakota,USA,7/5/2022,58772.47,Lower-Middle,Master's,Divorced,1,0,7710
Kelly Wallace,Female,64,South Williamtown,Louisiana,USA,12/15/2021,75247.96,Middle,Associate Degree,Married,1,0,7711
Omar Benton,Female,20,Adrianaside,California,USA,1/24/2024,45046.1,Lower-Middle,Associate Degree,Married,1,0,7712
Ethan Thomas MD,Female,56,Bakerbury,Kansas,USA,7/24/2023,62509.21,Middle,Master's,Married,0,1,7713
Emily Acosta,Female,35,Jarvisstad,Delaware,USA,4/4/2023,82996.66,Middle,Master's,Widowed,2,0,7714
Lance Haney,Male,40,New Cynthiabury,North Dakota,USA,11/29/2023,73484.15,Middle,Master's,Single,3,0,7715
Peter Lopez,Female,41,Port Stevenberg,Oklahoma,USA,5/28/2021,68989.21,Middle,High School,Married,0,0,7716
Jeremy Mills,Male,37,Owensberg,Massachusetts,USA,5/29/2023,55341.83,Lower-Middle,PhD,Divorced,1,0,7717
